date,open,high,low,close,volume
2021-11-03 14:30:00,462.363,464.43,462.04,464.2318,11092484
2021-11-03 15:30:00,464.24,465.15,464.13,464.74,11303116
2021-11-04 09:30:00,465.36,466.995,464.99,466.66,9281160
2021-11-04 10:30:00,466.68,467.0,465.25,465.33,7275228
2021-11-04 11:30:00,465.335,466.49,465.17,465.95,5452130
2021-11-04 12:30:00,465.96,466.09,465.5,466.08,3494121
2021-11-04 13:30:00,466.08,466.405,465.6,466.06,6397705
2021-11-04 14:30:00,466.06,466.28,465.54,465.98,4923834
2021-11-04 15:30:00,465.99,466.91,465.58,466.88,8916556
2021-11-05 09:30:00,469.28,470.65,469.0,469.97,12809105
2021-11-05 10:30:00,469.97,470.365,469.57,469.61,5333736
2021-11-05 11:30:00,469.6,470.06,469.24,469.5,7350662
2021-11-05 12:30:00,469.49,469.67,466.92,466.93,6648537
2021-11-05 13:30:00,466.93,468.74,466.92,468.64,7818797
2021-11-05 14:30:00,468.64,468.81,467.98,468.2699,4844405
2021-11-05 15:30:00,468.26,469.16,468.165,468.49,11269431
2021-11-08 09:30:00,469.7,470.23,468.8675,469.3813,8448893
2021-11-08 10:30:00,469.37,469.7,468.64,469.23,4826369
2021-11-08 11:30:00,469.23,469.35,468.2031,468.6,3766845
2021-11-08 12:30:00,468.605,468.98,468.23,468.85,3971321
2021-11-08 13:30:00,468.84,469.45,468.6533,468.955,3299030
2021-11-08 14:30:00,468.96,469.48,468.91,469.09,4786041
2021-11-08 15:30:00,469.08,469.3164,468.54,468.96,9900616
2021-11-09 09:30:00,469.32,469.57,466.15,467.2,14678195
2021-11-09 10:30:00,467.2,467.98,466.31,466.69,6558876
2021-11-09 11:30:00,466.68,467.495,465.88,466.42,5638536
2021-11-09 12:30:00,466.41,467.19,466.28,466.58,4472380
2021-11-09 13:30:00,466.58,467.06,465.94,466.69,5805576
2021-11-09 14:30:00,466.68,467.19,466.56,466.81,4032606
2021-11-09 15:30:00,466.81,467.495,466.53,467.39,6253870
2021-11-10 09:30:00,465.58,467.38,465.31,466.93,8598876
2021-11-10 10:30:00,466.93,467.3001,466.65,466.73,5026094
2021-11-10 11:30:00,466.72,466.969,466.07,466.0704,4331051
2021-11-10 12:30:00,466.08,466.43,464.5,465.05,8127537
2021-11-10 13:30:00,465.05,465.4199,462.78,462.785,11577955
2021-11-10 14:30:00,462.8,464.08,462.04,463.82,13990178
2021-11-10 15:30:00,463.83,464.29,463.01,463.65,12006537
2021-11-11 09:30:00,465.21,465.29,464.2254,464.26,7960354
2021-11-11 10:30:00,464.26,464.82,463.93,464.4317,5941957
2021-11-11 11:30:00,464.43,465.0999,463.84,464.235,3552014
2021-11-11 12:30:00,464.23,464.71,463.905,464.28,2250931
2021-11-11 13:30:00,464.27,464.77,464.16,464.43,2881039
2021-11-11 14:30:00,464.43,464.84,463.83,464.29,3231258
2021-11-11 15:30:00,464.28,464.45,463.75,463.81,5926428
2021-11-12 09:30:00,465.12,465.18,464.11,464.5,6836073
2021-11-12 10:30:00,464.51,467.07,464.15,466.83,7032705
2021-11-12 11:30:00,466.83,467.37,466.61,467.181,5077736
2021-11-12 12:30:00,467.18,467.18,466.38,466.67,3597770
